dma_name,dma_id,term,week,score,rank,percent_gain,refresh_date
Macon GA,503,argentina vs peru,2019-12-08,,24,140,2024-11-22
Macon GA,503,argentina vs peru,2020-10-18,,24,140,2024-11-22
Macon GA,503,argentina vs peru,2023-04-23,,24,140,2024-11-22
Macon GA,503,argentina vs peru,2023-12-10,,24,140,2024-11-22
Macon GA,503,argentina vs peru,2021-02-28,,24,140,2024-11-22
Macon GA,503,argentina vs peru,2022-02-13,,24,140,2024-11-22
Macon GA,503,argentina vs peru,2023-11-12,,24,140,2024-11-22
Macon GA,503,argentina vs peru,2020-03-01,,24,140,2024-11-22
Macon GA,503,argentina vs peru,2021-02-21,,24,140,2024-11-22
Macon GA,503,argentina vs peru,2022-01-30,,24,140,2024-11-22
Macon GA,503,argentina vs peru,2022-10-23,,24,140,2024-11-22
Macon GA,503,argentina vs peru,2023-10-29,,24,140,2024-11-22
Macon GA,503,argentina vs peru,2020-03-15,,24,140,2024-11-22
Macon GA,503,argentina vs peru,2021-01-03,,24,140,2024-11-22
Macon GA,503,argentina vs peru,2023-08-13,,24,140,2024-11-22
Macon GA,503,argentina vs peru,2024-05-05,,24,140,2024-11-22
Macon GA,503,argentina vs peru,2020-07-05,,24,140,2024-11-22
Macon GA,503,argentina vs peru,2021-05-16,,24,140,2024-11-22
Macon GA,503,argentina vs peru,2021-08-01,,24,140,2024-11-22
Macon GA,503,argentina vs peru,2023-01-29,,24,140,2024-11-22
Macon GA,503,argentina vs peru,2023-06-18,,24,140,2024-11-22
Macon GA,503,argentina vs peru,2021-08-29,,24,140,2024-11-22
Macon GA,503,argentina vs peru,2022-06-05,,24,140,2024-11-22
Macon GA,503,argentina vs peru,2023-09-10,,24,140,2024-11-22
Macon GA,503,argentina vs peru,2021-09-26,,24,140,2024-11-22
Macon GA,503,argentina vs peru,2022-01-09,,24,140,2024-11-22
Macon GA,503,argentina vs peru,2022-06-19,,24,140,2024-11-22
Macon GA,503,argentina vs peru,2020-09-20,,24,140,2024-11-22
Macon GA,503,argentina vs peru,2020-02-23,,24,140,2024-11-22
Macon GA,503,argentina vs peru,2020-08-02,,24,140,2024-11-22
Macon GA,503,argentina vs peru,2021-05-30,,24,140,2024-11-22
Macon GA,503,argentina vs peru,2024-07-07,,24,140,2024-11-22
Macon GA,503,argentina vs peru,2024-08-18,,24,140,2024-11-22
Macon GA,503,argentina vs peru,2020-03-22,,24,140,2024-11-22
Macon GA,503,argentina vs peru,2020-04-05,,24,140,2024-11-22
Macon GA,503,argentina vs peru,2023-01-01,,24,140,2024-11-22
Macon GA,503,argentina vs peru,2024-03-24,,24,140,2024-11-22
Macon GA,503,argentina vs peru,2022-05-15,,24,140,2024-11-22
Macon GA,503,argentina vs peru,2022-11-06,,24,140,2024-11-22
Macon GA,503,argentina vs peru,2024-03-10,,24,140,2024-11-22
Macon GA,503,argentina vs peru,2020-01-05,,24,140,2024-11-22
Macon GA,503,argentina vs peru,2020-08-09,,24,140,2024-11-22
Macon GA,503,argentina vs peru,2021-06-06,,24,140,2024-11-22
Macon GA,503,argentina vs peru,2022-10-16,,24,140,2024-11-22
Macon GA,503,argentina vs peru,2021-07-18,,24,140,2024-11-22
Macon GA,503,argentina vs peru,2024-01-07,,24,140,2024-11-22
Macon GA,503,argentina vs peru,2024-03-17,,24,140,2024-11-22
Macon GA,503,argentina vs peru,2021-04-04,,24,140,2024-11-22
Macon GA,503,argentina vs peru,2024-06-09,,24,140,2024-11-22
